Utterance-LEV,Response-LEV,Utterance-EGY,Response-EGY,Utterance-GUL,Response-GUL
كيف حترجع عالبيت؟,بالفان او مشي,حترجع البيت اذاي؟,بالمشروع او مشي,"جميل، اليوم يوم حلو! الشمس حارة وفي شوية سحاب هنا وهناك! يوم مناسب نروح الشاطئ! البزران هينبسطو! هسترتخي تحت الشمس وهم هيلعبو.","فعلاً كأنه الجو مثالي! مبسوط أننا اخترنا نطلع من المدينة ونستمتع بالجو الحلو! المكان هذا شكله ممتاز! يا أولاد، حطو كريم الشمس لغاية ما أنا وأمكم نرتب المخيم، مريم ساعديني أحط مناشف البحر."
كم كيلو مسموح تحمل معك؟,عشرين كيلو بس,مسموح تشيل معاك كام كيلو؟,عشرين كيلو بس,هلا,"هلا آمنة، أنا سمير."
شو ايمتى منّا نفرح فيك؟,بعيد الشرّ ما بدي هلق,ايه امتى حنفرح بيك؟,بعد الشر مش عايز دلوقتي,شوف العرض اللي جاني على الإيميل. يقول أني أقدر أصير غني وأنا أشتغل في البيت!,شكلك تصدق أنو بابا نويل وجنية الأسنان حقيقين برضو.
جيب الكاميرا معك لنتصور,ماشي لح جبيها,جيب كاميرا معاك عشان نتصور,ماشي حجيبها,كنا من الصباح جالسين نحضر لامتحان التاريخ بكرة. إيش رايك ناخذ بريك ونسمع شوية موسيقى؟,"على سيرة ذا الكلام، حتى أنا طفشت من كثرة الدراسة. ودي أسمع موسيقى شوي أنا كمان."
مين ضرب السيارة؟,ما بعرف مش انا,مين ضرب العربية,ماعرفش مش انا,متى هتجي أنت وبنتك للعشا عندنا؟  السبت الجاي؟,السبت الجاي؟ آسف وعدت بنتي أروح معاها الأوبرا الصينية.
شو صايم اليوم؟,اكيد الحمدلله,ايه صايم انهردة؟,اكيد الحمدلله,كنت أفكر أسوي معتكف للشركة في الجبال.,أتفق. هيكون شي ممتاز.
ليش الورد دبلان؟,صرنا زمان ما سقينا. اليوم حاسقيه,ليه الورد دبلان ؟,بقلنا زمان ماسيقناش. اليوم حاسقيه,كيف أقدر اساعدك؟,أبغى أشيك على هذي الكتب.
ليش عم تحكي معي بهل نبرة؟ وطي صوتك,عفوا انا متوتر شوي.,ليه بتكلم معايا بالنبرة ديه؟ وطي صوتك,معلش انا متوتر شوية.,يوم كريسماس مجيد!,هاه؟
راسي عم يوجعني وعليي شوية حرارة,سلامة قلبك. خود حبة دوا,راسي بيوجعني و عليا حرارة,سلامة قلبك خود حباية دوا,تبغى تروح السوق معاي؟,فكرة حلوة. متى وقت مناسب لك؟
بشو عم تفكر؟,عم فكر فيك,بتفكر في ايه؟,بفكر فيك,"أهلاً يا شاب. مو قصدي أهينك، بس ما شفتك هنا قبل الحين.",أكيد. هذا أول مرة أجي فيها هنا. أمي عندها عضوية هنا. هذي بطاقتها.
وين صفيت السيارة؟,تحت حد البحر,ركنت العربية فين ؟,تحت جمب البحر,سمعت أنو اتحاد الطلاب هيستقبل أعضاء جدد.,من جد؟ أنا أقدر أنضم؟
تروح نسبح الأحد؟,ايه بروح ما عندي مشكل,نروح نعوم الحد؟,اه اروح ماعنديش مشاكل,البنت ذيك حبيبتك؟,"لأ، مو هي."
تروح نكزدر عالكورنيش؟,عندي اجتماع عالساعة اربعة ما بقدر,نروح نتمشى على الكورنيش؟,عندي اجتماع الساعة اربعة ماقدرش,إيش تسوي في الصيف؟,أحب أروح الريف أسوق الدراجة أو أتمشى. أحب أطلع في جو الصيف. وأنت؟
ايام الأضراب مدفوعة؟,لا مش مدفوعة,ايام الأضراب مدفوعة؟,لا مش مدفوعة,سنة جديدة سعيدة!,شكراً. ولك أنت برضو.
الله يخليك تكويلي القميص؟,اكيد حبيبي تكرم عيونك,الله يخليك تكويلي القميص؟,اكيد حبيبي تسلم عينك,أنت تعرض كورسات في إدارة الأعمال؟,إيوة عندي.
حيعطونا زودة عالمعاش كرمال العيد!,حلو مبروك! لح تسير غني يعني ؟,حيدونا علاوة على المرتب عشان العيد!,حلو مبروك! حتبقى غني يعني ؟,إيش في رايك هي المشكلة الاجتماعية اللي لازم تركز عليها الحكومة أكثر؟,أظن الإسكان مشكلة كبيرة. في مشردين بالآلاف في الشوارع.
مش ضروري نقعد هون على كل حال,ايه في مطارح احسن بكتير,مش ضروري نقعد هنا على كل حال,اه في اماكن احسن بكتير,عندك حيوانات أليفة؟ زي البسس والكلاب؟,لأ. أنا أخاف من البسس.
اديه الساعة؟,هياها الساعة معك ليش ما بتشوفا؟,الساعة كام؟,اهي الساعة معاك مابتشوفهاش ليه؟,تحب تشوف قمصاننا حقتنا؟,معليش بس أنا مو مهتم بهذي الأشياء.
تروح عالمظاهرة؟,لا انا مش تبع هالشغلات,تروح المظاهرة؟,لا انا مش متابع الحاجات ديه,"اتفضل، اتفضل!",هلا حسام. إيش صار؟ كنت انتظرك في المعرض. ليش ما قابلتني هناك؟
شو الغدا اليوم؟ جوعان كتير,سندويشات فلافل و شاورما,حنتغدا ايه انهردا؟ جعان جدا,سندوتشات فلافل او شاورما,كيف كانت المدرسة اليوم يا مصطفى؟,أنا أكره المدرسة!
لازم تصير تضهر تشوف عالم,ما الي نفس شوف حدا,لازم تبقى تخرج تشوف العالم,ماليش نفس اشوف حد,ما قابلت الشمرانيين من فترة.,انتقلو لشيكاغو.
الليلة حضرتك معزوم عسهرة,ماشي حجرب اجي بس ما فيني اوعدك,انهردة حضرتك معزوم على السهرة,ماشي حجرب اجي بس ماوعدكش,سمعت عن نور؟ ما أكلت من كم يوم.,ليش؟ إيش مشكلتها؟
اوم روح غير هالتياب خلينا نضهر نغيّر جوّ شوي,لوين بدنا نروح؟ عبالي اطلع عالجبل,اوم روح غير الهدوم ديه خلينا نخرج نغير شوية جو,عايز تروح فين؟ جي على بالي اطلع عالجبل,كلهم طلعو! اتمنيت أمنية؟,"إيوة، بس ما أظن تتحقق. مستحيل تتحقق."
فيي افهم شو جابك لهون؟,وانت شو خصّك؟ بجي محل ما بدي,ممكن افهم ايه الي جايبك هنا؟,وانت مالك؟ باجي في مكان مانا عايز,إيش رايك بالأكل اللي ينباع في كشك الأكل اللي على الرصيف ذا؟,على الأقل هو أحسن من أكلي المعلب في الشغل. أنا طفشت من الأكل الصحي. شكراً على أنك اتغديت معاي.
ايمتى بدك تدفع الحساب؟,السبت بالليل وعد خلص,امتى حتدفع الحساب,السبت بالليل وعد خلاص,كيف أقدر اخدمك اليوم؟,أبغى أرجع كتاب.
أنا تلميذ بالجامعة و أنت ؟,أنا بشتغل بالبنك من شي سنتين,انا طالب في الجامعة و أنت؟,انا بشتغل في البنك من حوالي سنتين,إيش الرياضات المشهورة في بلدك؟,أغلب الناس يحبو كورة القدم. الأولاد اللي يحبو كورة القدم أكثر من البنات. في شوية بنات يلعبوها كويس. في بعض الناس يحبو يلعبو كورة السلة.
حلوة هالحفلة كتير,ايه عنجد كتير حلوة عجبتني,حلوة الحفلة جدا,اه بجد حلوة جدا عجبتني,مشكور لأنك سلفتني مشغل الCD,عادي عادي.
ينعاد عليك عقبال المية يا رب,شكرا كلك زوق يا حلو,كل سنة و انت طيب عقبال المية يا رب,شكرا كلك زوق,شكلك مرَّة مبسوط. إيش صار؟,أنا وسارة متفقين مع بعض.
في عطلة بعد يومين شو مقرر تعمل ؟,بعد مل قررت ما في شي معيين ببالي,في اجازة بعد يومين ايه المقرر يتعمل؟,بعد ما قررت مافيش حاجة معينة في بالي,جيت أقلك مع السلامة.,متى هتروح؟
يا زلمي شو شوب اليوم,معك حق فطست كتير,يا راجل قد ايه حر انهردة,معاك حق فطست جامد,الجو خايس.,إيوة. أمس كان مشمس ودافي بس الهوا  مرّة قوي الحين.
عندمك وقت الليلة ؟ في ماتش فوتبول قوي,مين ضد مين ؟ اكيد عندي وقت,عندك وقت انهردة؟ في ماتش كورة قوي,مين ضد مين ؟ اكيد عندي وقت,المدينة هذي سكانها كثيرين مرّة. لازم نسوي شي.,"أتفق. لازم نعيد تدوير الزبالة ونستخدم المواصلات العامة أكثر,"
ما كنت متخيل شوفك بهالوقت قلت بتكون نايم,اي نوم يا زلمي عم حضر بحث لمؤتمر بعد يومين التسليم,ماكنتش متخيل اشوفك في الوقت ده قلت حتكون نايم,انهي نوم يا راجل بحضر لبحث مؤتمر بعد يومين التسليم,أبغى طريقة مريحة ومناسبة أشوف بيها البلد.,سمعت عن تدريب السيارات؟ هذا واحد من أسرع القطاعات من الحيث النمو في مجال السفر.
ليه هيك شكلك شو صاير معك ؟,الي من الصبح عم بشتغل كتير تعبت,ليه شكلك كده الي حاصل معاك؟,ليا من الصبح بشتغل تعبت جدا,مين ممثلك المفضل؟,توم هانك هيكون دايماً ممثلي المفضل.
و اخيرا خلص الفصل و صار فيني ارتاح,مبروك يعطيك العافية كيف عملت بالإمتحانات ؟,و اخيرا خلص الفصل وبقا ممكن ارتاح,مبروك يرزقك العافية عملت ايه افي الأمتحانات ؟,صاحبي الصيني قلي أنو مهرجان الربيع قريب. تقدر تحكي لي عنه؟,أكيد. هذا هو  رأس السنة الصينية الجديدة والصينيين يعتبروه أهم عطلة في السنة.
فيي استعير منك قلم لو سمحت ؟,لأ ما فيك مل بحب عير غراضي لحدا,ممكن استلف منك قلم لو سمحت؟,لأ ماينفعش ما بحبش ادي حاجتي لحد,رزان قررت تبطل تدخين.,من جد؟ ليه؟
عندي سؤال كتير قوي لإلك,يا لطيف شو هوي هالسؤال ؟,عندي سؤال قوي جدا ليك,يا لطيف ايه هوا السؤال,تدري مين دوبه تزوج؟ الشيخ عبد العزيز .,كذاب! عمره أكثر من 80 سنة صح؟
